txn_id,period,txn_date,account_code,entity,department,region,segment,customer_id,customer_name,vendor,amount,memo
TXN-2025-10-0001,2025-10,2025-10-10,4000,Money Ops US,Sales,AMER,Enterprise,ENT-01,Globex Corp,,60975.43,Subscription revenue
TXN-2025-10-0002,2025-10,2025-10-10,4000,Money Ops US,Sales,AMER,Enterprise,ENT-02,Initech Holdings,,69701.79,Subscription revenue
TXN-2025-10-0003,2025-10,2025-10-10,4000,Money Ops US,Sales,EMEA,Enterprise,ENT-03,Umbrella Group,,69217.65,Subscription revenue
TXN-2025-10-0004,2025-10,2025-10-10,4000,Money Ops US,Sales,AMER,Enterprise,ENT-04,Stark Industries,,68628.62,Subscription revenue
TXN-2025-10-0005,2025-10,2025-10-10,4000,Money Ops US,Sales,AMER,Enterprise,ENT-05,Wayne Enterprises,,69167.25,Subscription revenue
TXN-2025-10-0006,2025-10,2025-10-12,4010,Money Ops US,Sales,AMER,Mid-Market,MID-01,Acme Mid,,31761.02,Subscription revenue
TXN-2025-10-0007,2025-10,2025-10-12,4010,Money Ops US,Sales,AMER,Mid-Market,MID-02,Northwind Mid,,32699.85,Subscription revenue
TXN-2025-10-0008,2025-10,2025-10-12,4010,Money Ops US,Sales,EMEA,Mid-Market,MID-03,Contoso Mid,,29123.09,Subscription revenue
TXN-2025-10-0009,2025-10,2025-10-12,4010,Money Ops US,Sales,AMER,Mid-Market,MID-04,Fabrikam Mid,,35085.07,Subscription revenue
TXN-2025-10-0010,2025-10,2025-10-12,4010,Money Ops US,Sales,EMEA,Mid-Market,MID-05,Soylent Mid,,29341.7,Subscription revenue
TXN-2025-10-0011,2025-10,2025-10-14,4020,Money Ops US,Sales,AMER,SMB,SMB-POOL,SMB Pool (US),,56800.65,Subscription revenue - SMB pool
TXN-2025-10-0012,2025-10,2025-10-14,4020,Money Ops EU,Sales,EMEA,SMB,SMB-POOL,SMB Pool (EU),,25422.66,Subscription revenue - SMB pool
TXN-2025-10-0013,2025-10,2025-10-05,5000,Money Ops US,Engineering,AMER,,,,NimbusHost Cloud,38684.87,Production hosting - base usage
TXN-2025-10-0014,2025-10,2025-10-08,6000,Money Ops US,Sales & Marketing,AMER,,,,Ad Platform Co,50256.37,Digital advertising spend
TXN-2025-10-0015,2025-10,2025-10-16,6000,Money Ops US,Sales & Marketing,AMER,,,,Field Events LLC,21746.26,Regional field events
TXN-2025-10-0016,2025-10,2025-10-09,6010,Money Ops US,G&A,AMER,,,,Corporate Services Inc,48330.52,Corporate overhead allocation
TXN-2025-10-0017,2025-10,2025-10-01,6020,Money Ops US,R&D,AMER,,,,Internal Payroll Allocation,102307.75,Engineering payroll allocation
TXN-2025-10-0018,2025-10,2025-10-18,6100,Money Ops US,Sales,AMER,,,,Corporate Travel Partners,14446.71,T&E - travel partners
