txn_id,period,txn_date,account_code,entity,department,region,segment,customer_id,customer_name,vendor,amount,memo
TXN-2025-04-0001,2025-04,2025-04-10,4000,Money Ops US,Sales,AMER,Enterprise,ENT-01,Globex Corp,,64296.88,Subscription revenue
TXN-2025-04-0002,2025-04,2025-04-10,4000,Money Ops US,Sales,AMER,Enterprise,ENT-02,Initech Holdings,,72163.76,Subscription revenue
TXN-2025-04-0003,2025-04,2025-04-10,4000,Money Ops US,Sales,EMEA,Enterprise,ENT-03,Umbrella Group,,71264.37,Subscription revenue
TXN-2025-04-0004,2025-04,2025-04-10,4000,Money Ops US,Sales,AMER,Enterprise,ENT-04,Stark Industries,,70418.76,Subscription revenue
TXN-2025-04-0005,2025-04,2025-04-10,4000,Money Ops US,Sales,AMER,Enterprise,ENT-05,Wayne Enterprises,,72398.62,Subscription revenue
TXN-2025-04-0006,2025-04,2025-04-12,4010,Money Ops US,Sales,AMER,Mid-Market,MID-01,Acme Mid,,30572.37,Subscription revenue
TXN-2025-04-0007,2025-04,2025-04-12,4010,Money Ops US,Sales,AMER,Mid-Market,MID-02,Northwind Mid,,32856.56,Subscription revenue
TXN-2025-04-0008,2025-04,2025-04-12,4010,Money Ops US,Sales,EMEA,Mid-Market,MID-03,Contoso Mid,,28465.04,Subscription revenue
TXN-2025-04-0009,2025-04,2025-04-12,4010,Money Ops US,Sales,AMER,Mid-Market,MID-04,Fabrikam Mid,,34855.16,Subscription revenue
TXN-2025-04-0010,2025-04,2025-04-12,4010,Money Ops US,Sales,EMEA,Mid-Market,MID-05,Soylent Mid,,28231.69,Subscription revenue
TXN-2025-04-0011,2025-04,2025-04-14,4020,Money Ops US,Sales,AMER,SMB,SMB-POOL,SMB Pool (US),,56463.79,Subscription revenue - SMB pool
TXN-2025-04-0012,2025-04,2025-04-14,4020,Money Ops EU,Sales,EMEA,SMB,SMB-POOL,SMB Pool (EU),,24709.38,Subscription revenue - SMB pool
TXN-2025-04-0013,2025-04,2025-04-05,5000,Money Ops US,Engineering,AMER,,,,NimbusHost Cloud,38130.77,Production hosting - base usage
TXN-2025-04-0014,2025-04,2025-04-08,6000,Money Ops US,Sales & Marketing,AMER,,,,Ad Platform Co,45721.83,Digital advertising spend
TXN-2025-04-0015,2025-04,2025-04-16,6000,Money Ops US,Sales & Marketing,AMER,,,,Field Events LLC,20271.71,Regional field events
TXN-2025-04-0016,2025-04,2025-04-09,6010,Money Ops US,G&A,AMER,,,,Corporate Services Inc,48624.31,Corporate overhead allocation
TXN-2025-04-0017,2025-04,2025-04-01,6020,Money Ops US,R&D,AMER,,,,Internal Payroll Allocation,98169.13,Engineering payroll allocation
TXN-2025-04-0018,2025-04,2025-04-18,6100,Money Ops US,Sales,AMER,,,,Corporate Travel Partners,15332.98,T&E - travel partners
