txn_id,period,txn_date,account_code,entity,department,region,segment,customer_id,customer_name,vendor,amount,memo
TXN-2025-03-0001,2025-03,2025-03-10,4000,Money Ops US,Sales,AMER,Enterprise,ENT-01,Globex Corp,,61673.69,Subscription revenue
TXN-2025-03-0002,2025-03,2025-03-10,4000,Money Ops US,Sales,AMER,Enterprise,ENT-02,Initech Holdings,,70249.22,Subscription revenue
TXN-2025-03-0003,2025-03,2025-03-10,4000,Money Ops US,Sales,EMEA,Enterprise,ENT-03,Umbrella Group,,71041.57,Subscription revenue
TXN-2025-03-0004,2025-03,2025-03-10,4000,Money Ops US,Sales,AMER,Enterprise,ENT-04,Stark Industries,,71327.81,Subscription revenue
TXN-2025-03-0005,2025-03,2025-03-10,4000,Money Ops US,Sales,AMER,Enterprise,ENT-05,Wayne Enterprises,,67458.81,Subscription revenue
TXN-2025-03-0006,2025-03,2025-03-12,4010,Money Ops US,Sales,AMER,Mid-Market,MID-01,Acme Mid,,29953.04,Subscription revenue
TXN-2025-03-0007,2025-03,2025-03-12,4010,Money Ops US,Sales,AMER,Mid-Market,MID-02,Northwind Mid,,32859.72,Subscription revenue
TXN-2025-03-0008,2025-03,2025-03-12,4010,Money Ops US,Sales,EMEA,Mid-Market,MID-03,Contoso Mid,,27857.8,Subscription revenue
TXN-2025-03-0009,2025-03,2025-03-12,4010,Money Ops US,Sales,AMER,Mid-Market,MID-04,Fabrikam Mid,,34444.26,Subscription revenue
TXN-2025-03-0010,2025-03,2025-03-12,4010,Money Ops US,Sales,EMEA,Mid-Market,MID-05,Soylent Mid,,28332.24,Subscription revenue
TXN-2025-03-0011,2025-03,2025-03-14,4020,Money Ops US,Sales,AMER,SMB,SMB-POOL,SMB Pool (US),,56958.39,Subscription revenue - SMB pool
TXN-2025-03-0012,2025-03,2025-03-14,4020,Money Ops EU,Sales,EMEA,SMB,SMB-POOL,SMB Pool (EU),,24451.36,Subscription revenue - SMB pool
TXN-2025-03-0013,2025-03,2025-03-05,5000,Money Ops US,Engineering,AMER,,,,NimbusHost Cloud,38908.94,Production hosting - base usage
TXN-2025-03-0014,2025-03,2025-03-08,6000,Money Ops US,Sales & Marketing,AMER,,,,Ad Platform Co,46383.37,Digital advertising spend
TXN-2025-03-0015,2025-03,2025-03-16,6000,Money Ops US,Sales & Marketing,AMER,,,,Field Events LLC,20919.95,Regional field events
TXN-2025-03-0016,2025-03,2025-03-09,6010,Money Ops US,G&A,AMER,,,,Corporate Services Inc,48830.46,Corporate overhead allocation
TXN-2025-03-0017,2025-03,2025-03-01,6020,Money Ops US,R&D,AMER,,,,Internal Payroll Allocation,94905.46,Engineering payroll allocation
TXN-2025-03-0018,2025-03,2025-03-18,6100,Money Ops US,Sales,AMER,,,,Corporate Travel Partners,15402.78,T&E - travel partners
