txn_id,period,txn_date,account_code,entity,department,region,segment,customer_id,customer_name,vendor,amount,memo
TXN-2025-01-0001,2025-01,2025-01-10,4000,Money Ops US,Sales,AMER,Enterprise,ENT-01,Globex Corp,,59698.63,Subscription revenue
TXN-2025-01-0002,2025-01,2025-01-10,4000,Money Ops US,Sales,AMER,Enterprise,ENT-02,Initech Holdings,,70977.92,Subscription revenue
TXN-2025-01-0003,2025-01,2025-01-10,4000,Money Ops US,Sales,EMEA,Enterprise,ENT-03,Umbrella Group,,70685.88,Subscription revenue
TXN-2025-01-0004,2025-01,2025-01-10,4000,Money Ops US,Sales,AMER,Enterprise,ENT-04,Stark Industries,,67995.59,Subscription revenue
TXN-2025-01-0005,2025-01,2025-01-10,4000,Money Ops US,Sales,AMER,Enterprise,ENT-05,Wayne Enterprises,,65345.54,Subscription revenue
TXN-2025-01-0006,2025-01,2025-01-12,4010,Money Ops US,Sales,AMER,Mid-Market,MID-01,Acme Mid,,29857.05,Subscription revenue
TXN-2025-01-0007,2025-01,2025-01-12,4010,Money Ops US,Sales,AMER,Mid-Market,MID-02,Northwind Mid,,33194.81,Subscription revenue
TXN-2025-01-0008,2025-01,2025-01-12,4010,Money Ops US,Sales,EMEA,Mid-Market,MID-03,Contoso Mid,,27704.9,Subscription revenue
TXN-2025-01-0009,2025-01,2025-01-12,4010,Money Ops US,Sales,AMER,Mid-Market,MID-04,Fabrikam Mid,,34370.54,Subscription revenue
TXN-2025-01-0010,2025-01,2025-01-12,4010,Money Ops US,Sales,EMEA,Mid-Market,MID-05,Soylent Mid,,28165.67,Subscription revenue
TXN-2025-01-0011,2025-01,2025-01-14,4020,Money Ops US,Sales,AMER,SMB,SMB-POOL,SMB Pool (US),,55006.92,Subscription revenue - SMB pool
TXN-2025-01-0012,2025-01,2025-01-14,4020,Money Ops EU,Sales,EMEA,SMB,SMB-POOL,SMB Pool (EU),,23517.16,Subscription revenue - SMB pool
TXN-2025-01-0013,2025-01,2025-01-05,5000,Money Ops US,Engineering,AMER,,,,NimbusHost Cloud,37050.48,Production hosting - base usage
TXN-2025-01-0014,2025-01,2025-01-08,6000,Money Ops US,Sales & Marketing,AMER,,,,Ad Platform Co,48200.35,Digital advertising spend
TXN-2025-01-0015,2025-01,2025-01-16,6000,Money Ops US,Sales & Marketing,AMER,,,,Field Events LLC,20151.1,Regional field events
TXN-2025-01-0016,2025-01,2025-01-09,6010,Money Ops US,G&A,AMER,,,,Corporate Services Inc,48372.02,Corporate overhead allocation
TXN-2025-01-0017,2025-01,2025-01-01,6020,Money Ops US,R&D,AMER,,,,Internal Payroll Allocation,98074.81,Engineering payroll allocation
TXN-2025-01-0018,2025-01,2025-01-18,6100,Money Ops US,Sales,AMER,,,,Corporate Travel Partners,14939.79,T&E - travel partners
