txn_id,period,txn_date,account_code,entity,department,region,segment,customer_id,customer_name,vendor,amount,memo
TXN-2026-02-0001,2026-02,2026-02-10,4000,Money Ops US,Sales,AMER,Enterprise,ENT-01,Globex Corp,,66974.71,Subscription revenue
TXN-2026-02-0002,2026-02,2026-02-10,4000,Money Ops US,Sales,AMER,Enterprise,ENT-02,Initech Holdings,,71964.67,Subscription revenue
TXN-2026-02-0003,2026-02,2026-02-10,4000,Money Ops US,Sales,EMEA,Enterprise,ENT-03,Umbrella Group,,70012.65,Subscription revenue
TXN-2026-02-0004,2026-02,2026-02-10,4000,Money Ops US,Sales,AMER,Enterprise,ENT-04,Stark Industries,,74662.29,Subscription revenue
TXN-2026-02-0005,2026-02,2026-02-10,4000,Money Ops US,Sales,AMER,Enterprise,ENT-05,Wayne Enterprises,,72954.96,Subscription revenue
TXN-2026-02-0006,2026-02,2026-02-12,4010,Money Ops US,Sales,AMER,Mid-Market,MID-01,Acme Mid,,31353.47,Subscription revenue
TXN-2026-02-0007,2026-02,2026-02-12,4010,Money Ops US,Sales,AMER,Mid-Market,MID-02,Northwind Mid,,33703.44,Subscription revenue
TXN-2026-02-0008,2026-02,2026-02-12,4010,Money Ops US,Sales,EMEA,Mid-Market,MID-03,Contoso Mid,,29514.97,Subscription revenue
TXN-2026-02-0009,2026-02,2026-02-12,4010,Money Ops US,Sales,AMER,Mid-Market,MID-04,Fabrikam Mid,,35592.95,Subscription revenue
TXN-2026-02-0010,2026-02,2026-02-12,4010,Money Ops US,Sales,EMEA,Mid-Market,MID-05,Soylent Mid,,29944.06,Subscription revenue
TXN-2026-02-0011,2026-02,2026-02-14,4020,Money Ops US,Sales,AMER,SMB,SMB-POOL,SMB Pool (US),,57039.59,Subscription revenue - SMB pool
TXN-2026-02-0012,2026-02,2026-02-14,4020,Money Ops EU,Sales,EMEA,SMB,SMB-POOL,SMB Pool (EU),,25371.99,Subscription revenue - SMB pool
TXN-2026-02-0013,2026-02,2026-02-05,5000,Money Ops US,Engineering,AMER,,,,NimbusHost Cloud,41157.51,Production hosting - base usage
TXN-2026-02-0014,2026-02,2026-02-08,6000,Money Ops US,Sales & Marketing,AMER,,,,Ad Platform Co,47714.03,Digital advertising spend
TXN-2026-02-0015,2026-02,2026-02-16,6000,Money Ops US,Sales & Marketing,AMER,,,,Field Events LLC,22694.07,Regional field events
TXN-2026-02-0016,2026-02,2026-02-09,6010,Money Ops US,G&A,AMER,,,,Corporate Services Inc,49170.84,Corporate overhead allocation
TXN-2026-02-0017,2026-02,2026-02-01,6020,Money Ops US,R&D,AMER,,,,Internal Payroll Allocation,106165.77,Engineering payroll allocation
TXN-2026-02-0018,2026-02,2026-02-18,6100,Money Ops US,Sales,AMER,,,,Corporate Travel Partners,15584.52,T&E - travel partners
