txn_id,period,txn_date,account_code,entity,department,region,segment,customer_id,customer_name,vendor,amount,memo
TXN-2025-02-0001,2025-02,2025-02-10,4000,Money Ops US,Sales,AMER,Enterprise,ENT-01,Globex Corp,,62679.7,Subscription revenue
TXN-2025-02-0002,2025-02,2025-02-10,4000,Money Ops US,Sales,AMER,Enterprise,ENT-02,Initech Holdings,,67859.23,Subscription revenue
TXN-2025-02-0003,2025-02,2025-02-10,4000,Money Ops US,Sales,EMEA,Enterprise,ENT-03,Umbrella Group,,71596.24,Subscription revenue
TXN-2025-02-0004,2025-02,2025-02-10,4000,Money Ops US,Sales,AMER,Enterprise,ENT-04,Stark Industries,,71048.69,Subscription revenue
TXN-2025-02-0005,2025-02,2025-02-10,4000,Money Ops US,Sales,AMER,Enterprise,ENT-05,Wayne Enterprises,,70870.98,Subscription revenue
TXN-2025-02-0006,2025-02,2025-02-12,4010,Money Ops US,Sales,AMER,Mid-Market,MID-01,Acme Mid,,31311.64,Subscription revenue
TXN-2025-02-0007,2025-02,2025-02-12,4010,Money Ops US,Sales,AMER,Mid-Market,MID-02,Northwind Mid,,33690.61,Subscription revenue
TXN-2025-02-0008,2025-02,2025-02-12,4010,Money Ops US,Sales,EMEA,Mid-Market,MID-03,Contoso Mid,,28139.6,Subscription revenue
TXN-2025-02-0009,2025-02,2025-02-12,4010,Money Ops US,Sales,AMER,Mid-Market,MID-04,Fabrikam Mid,,34266.98,Subscription revenue
TXN-2025-02-0010,2025-02,2025-02-12,4010,Money Ops US,Sales,EMEA,Mid-Market,MID-05,Soylent Mid,,27760.83,Subscription revenue
TXN-2025-02-0011,2025-02,2025-02-14,4020,Money Ops US,Sales,AMER,SMB,SMB-POOL,SMB Pool (US),,57169.44,Subscription revenue - SMB pool
TXN-2025-02-0012,2025-02,2025-02-14,4020,Money Ops EU,Sales,EMEA,SMB,SMB-POOL,SMB Pool (EU),,24316.47,Subscription revenue - SMB pool
TXN-2025-02-0013,2025-02,2025-02-05,5000,Money Ops US,Engineering,AMER,,,,NimbusHost Cloud,37921.12,Production hosting - base usage
TXN-2025-02-0014,2025-02,2025-02-08,6000,Money Ops US,Sales & Marketing,AMER,,,,Ad Platform Co,45487.13,Digital advertising spend
TXN-2025-02-0015,2025-02,2025-02-16,6000,Money Ops US,Sales & Marketing,AMER,,,,Field Events LLC,20247.82,Regional field events
TXN-2025-02-0016,2025-02,2025-02-09,6010,Money Ops US,G&A,AMER,,,,Corporate Services Inc,48479.25,Corporate overhead allocation
TXN-2025-02-0017,2025-02,2025-02-01,6020,Money Ops US,R&D,AMER,,,,Internal Payroll Allocation,97570.81,Engineering payroll allocation
TXN-2025-02-0018,2025-02,2025-02-18,6100,Money Ops US,Sales,AMER,,,,Corporate Travel Partners,14645.39,T&E - travel partners
