txn_id,period,txn_date,account_code,entity,department,region,segment,customer_id,customer_name,vendor,amount,memo
TXN-2026-06-0001,2026-06,2026-06-10,4000,Money Ops US,Sales,AMER,Enterprise,ENT-01,Globex Corp,,68594.94,Subscription revenue
TXN-2026-06-0002,2026-06,2026-06-10,4000,Money Ops US,Sales,AMER,Enterprise,ENT-02,Initech Holdings,,75471.59,Subscription revenue
TXN-2026-06-0003,2026-06,2026-06-10,4000,Money Ops US,Sales,EMEA,Enterprise,ENT-03,Umbrella Group,,76071.58,Subscription revenue
TXN-2026-06-0004,2026-06,2026-06-10,4000,Money Ops US,Sales,AMER,Enterprise,ENT-04,Stark Industries,,74795.36,Subscription revenue
TXN-2026-06-0005,2026-06,2026-06-10,4000,Money Ops US,Sales,AMER,Enterprise,ENT-05,Wayne Enterprises,,76560.86,Subscription revenue
TXN-2026-06-0006,2026-06,2026-06-12,4010,Money Ops US,Sales,AMER,Mid-Market,MID-01,Acme Mid,,30653.03,Subscription revenue
TXN-2026-06-0007,2026-06,2026-06-12,4010,Money Ops US,Sales,AMER,Mid-Market,MID-02,Northwind Mid,,34028.64,Subscription revenue
TXN-2026-06-0008,2026-06,2026-06-12,4010,Money Ops US,Sales,EMEA,Mid-Market,MID-03,Contoso Mid,,29576.52,Subscription revenue
TXN-2026-06-0009,2026-06,2026-06-12,4010,Money Ops US,Sales,EMEA,Mid-Market,MID-05,Soylent Mid,,28932.79,Subscription revenue
TXN-2026-06-0010,2026-06,2026-06-14,4020,Money Ops US,Sales,AMER,SMB,SMB-POOL,SMB Pool (US),,57926.56,Subscription revenue - SMB pool
TXN-2026-06-0011,2026-06,2026-06-14,4020,Money Ops EU,Sales,EMEA,SMB,SMB-POOL,SMB Pool (EU),,25379.4,Subscription revenue - SMB pool
TXN-2026-06-0012,2026-06,2026-06-05,5000,Money Ops US,Engineering,AMER,,,,NimbusHost Cloud,41467.62,Production hosting - base usage
TXN-2026-06-0013,2026-06,2026-06-22,5000,Money Ops US,Engineering,AMER,,,,CloudBeam Compute,8000,Elastic compute burst - usage overage
TXN-2026-06-0014,2026-06,2026-06-08,6000,Money Ops US,Sales & Marketing,AMER,,,,Ad Platform Co,48677.75,Digital advertising spend
TXN-2026-06-0015,2026-06,2026-06-16,6000,Money Ops US,Sales & Marketing,AMER,,,,Field Events LLC,22229.46,Regional field events
TXN-2026-06-0016,2026-06,2026-06-09,6010,Money Ops US,G&A,AMER,,,,Corporate Services Inc,51097.07,Corporate overhead allocation
TXN-2026-06-0017,2026-06,2026-06-01,6020,Money Ops US,R&D,AMER,,,,Internal Payroll Allocation,108838.6,Engineering payroll allocation
TXN-2026-06-0018,2026-06,2026-06-18,6100,Money Ops US,Sales,AMER,,,,Corporate Travel Partners,15070.52,T&E - travel partners
